Mes,Ventas,Ganancias,Stock,Precio,Descuento (%),Región,Categoría del Producto,Producto,Costos Operativos,Devoluciones,Unidades Vendidas
Diciembre,9318,312,2330,93.5558698183556,10.33,Barcelona,Ropa,Zapatillas,21,35,382
Noviembre,1054,1400,4405,937.5053333071575,26.59,Madrid,Hogar,Zapatillas,17,6,217
Septiembre,8665,4896,398,723.9475363548975,27.57,Oviedo,Hogar,Microondas,14,23,428
Julio,7759,2602,691,657.3747307842028,19.48,Barcelona,Juguetes,Laptop,27,2,161
Noviembre,1214,3618,6340,1.1213845297328906,18.08,Toledo,Hogar,Muñeca,30,46,180
Mayo,8980,4368,2714,907.6849430375554,23.19,Santander,Ropa,Libro,17,2,431
Julio,106,2319,4716,865.1761681412171,18.83,Bilbao,Ropa,Teléfono,20,7,271
Julio,7058,1672,9188,1.1853615846965613,3.62,Bilbao,Ropa,Microondas,21,32,431
Septiembre,5256,4893,7420,310.7748942690627,26.0,Oviedo,Juguetes,Camiseta,30,49,292
Octubre,6344,1820,9249,533.6378334130449,25.89,Córdoba,Juguetes,Laptop,10,11,51
Febrero,7305,1804,9232,495.0606535604727,9.66,Palma,Juguetes,Microondas,15,40,382
Septiembre,3407,2306,8011,704.7470889928139,7.65,Murcia,Electrónica,Muñeca,23,22,253
Septiembre,3827,4021,5821,675.3222874476385,20.78,Zaragoza,Electrónica,Camiseta,16,32,426
Febrero,9462,3347,8019,944.1175405816864,26.18,Sevilla,Alimentos,Microondas,18,44,161
Diciembre,7173,1308,3932,628.2637964292279,14.42,Oviedo,Ropa,Zapatillas,16,28,304
Agosto,7840,4505,7359,852.9057314519364,4.94,Logroño,Alimentos,Zapatillas,25,24,431
Febrero,2145,1120,3744,715.774827797849,6.87,Zaragoza,Electrónica,Libro,11,14,283
Marzo,5956,4290,4630,97.52992410421571,24.55,Valencia,Ropa,Muñeca,19,23,68
Julio,7641,2959,4687,334.15328953991957,10.82,Barcelona,Ropa,Muñeca,28,24,125
Abril,8170,2236,2260,399.217234351921,26.25,Granada,Ropa,Teléfono,16,20,492
Octubre,5251,1850,5129,273.15301422005285,29.72,Madrid,Alimentos,Laptop,15,26,164
Julio,2459,829,1980,130.95840191769523,16.25,Sevilla,Electrónica,Libro,14,15,114
Octubre,8364,3196,4666,347.0122683631312,19.22,Valencia,Juguetes,Zapatillas,18,12,225
Septiembre,5566,3901,5090,134.8354102886011,9.99,Valencia,Hogar,Muñeca,30,12,320
Diciembre,5337,4102,1514,170.69010549620714,18.17,Sevilla,Electrónica,Microondas,15,32,319
Septiembre,1280,1571,4123,693.2042424691236,8.21,Valencia,Hogar,Refrigerador,18,33,253
Octubre,5998,2145,8338,821.2240368630013,4.18,Sevilla,Alimentos,Laptop,11,46,98
Junio,6885,1426,2271,48.52117262737193,14.51,Murcia,Ropa,Pelota,27,8,493
Agosto,9849,3186,1251,918.5089059163986,25.74,Logroño,Juguetes,Tablet,14,16,423
Noviembre,3954,1284,4565,23.314746498840723,4.03,Córdoba,Hogar,Tablet,28,46,195
Octubre,5886,626,2123,903.2210982569343,8.66,Murcia,Alimentos,Microondas,22,2,488
Mayo,9501,2243,7749,238.7693368896356,19.38,Sevilla,Hogar,Teléfono,21,44,8
Enero,1248,928,3757,770.5006179883206,19.98,Palma,Juguetes,Zapatillas,21,19,325
Agosto,9728,591,5553,282.90746504845276,20.88,Valencia,Juguetes,Zapatillas,28,7,496
Agosto,5280,974,7490,41.570720405978975,7.71,Málaga,Electrónica,Libro,29,26,395
Junio,1447,2276,3528,114.90604783967997,9.99,Valencia,Alimentos,Camiseta,29,24,486
Abril,9530,2650,7993,447.2157268124781,16.61,Barcelona,Hogar,Tablet,20,17,53
Marzo,8659,4664,6203,873.8135674260659,1.61,Granada,Electrónica,Refrigerador,10,44,380
Diciembre,1353,3029,5747,293.9065003835421,6.72,Valladolid,Hogar,Tablet,17,33,60
Junio,8175,1829,5193,825.9687395077452,5.86,Valladolid,Electrónica,Zapatillas,12,41,293
Mayo,4561,2621,1261,112.97742728320456,13.46,Santander,Electrónica,Refrigerador,20,16,137
Abril,485,2622,3296,862.2094144294038,16.15,Logroño,Hogar,Tablet,20,38,68
Octubre,9887,3646,9848,888.2607032860798,2.21,Logroño,Alimentos,Pelota,16,40,136
Febrero,7096,3778,9422,208.39204865103375,1.0,Sevilla,Alimentos,Libro,10,22,436
Noviembre,8439,3428,6607,96.76127565449141,0.77,Barcelona,Electrónica,Zapatillas,17,15,442
Febrero,5236,523,7501,358.07434802420454,15.13,Logroño,Alimentos,Refrigerador,19,23,295
Octubre,9583,3781,2385,522.9566449530195,9.4,Barcelona,Electrónica,Refrigerador,27,8,352
Septiembre,2982,1255,3204,405.5428698897434,0.54,Sevilla,Alimentos,Pelota,25,8,72
Enero,935,4705,562,720.9147331069053,27.29,Logroño,Electrónica,Refrigerador,13,47,205
Julio,2892,1901,4598,426.47954298166275,25.65,Granada,Juguetes,Libro,10,18,168
Mayo,6555,4542,167,636.6896706297042,4.89,Palma,Juguetes,Muñeca,12,38,452
Diciembre,1607,3603,7859,554.139376856771,5.54,Oviedo,Juguetes,Laptop,18,22,95
Enero,5438,3606,3185,958.631458368762,19.25,Málaga,Electrónica,Muñeca,20,0,267
Abril,541,530,8075,852.2620968354883,28.85,Bilbao,Alimentos,Muñeca,23,28,474
Mayo,3879,2819,9585,265.5240392538396,26.24,Sevilla,Electrónica,Laptop,18,33,129
Abril,6355,2957,1945,952.7831444155111,23.31,Sevilla,Juguetes,Muñeca,14,8,429
Octubre,6872,2989,6892,485.26026248599754,10.25,Bilbao,Ropa,Muñeca,28,11,477
Septiembre,8506,3801,3643,488.6751287869155,15.55,Bilbao,Ropa,Zapatillas,27,4,318
Septiembre,3540,4814,3044,914.1277270366954,2.48,Logroño,Ropa,Zapatillas,26,43,168
Diciembre,8865,281,4616,7.971080603749334,15.73,Madrid,Juguetes,Zapatillas,15,9,411
Julio,5823,2199,9115,188.97711250595296,2.6,Barcelona,Juguetes,Libro,19,32,269
Julio,9864,1767,9319,282.9214829833193,20.21,Valencia,Electrónica,Microondas,30,39,282
Julio,6859,3477,8278,163.64913974890663,6.18,Bilbao,Juguetes,Teléfono,11,25,294
Marzo,5629,613,7075,479.3166398604854,13.72,Toledo,Alimentos,Pelota,26,42,487
Septiembre,4302,2984,3102,727.70921875675,12.28,Logroño,Hogar,Muñeca,24,1,120
Septiembre,8302,526,8949,256.6335576926632,17.95,Logroño,Hogar,Teléfono,24,43,243
Noviembre,4528,1118,8514,52.378456200219304,21.77,Málaga,Hogar,Refrigerador,28,10,400
Diciembre,9918,843,4150,124.82070396534574,14.55,Oviedo,Alimentos,Pelota,20,16,370
Febrero,5016,2430,446,729.1104089149717,9.69,Granada,Hogar,Laptop,10,2,184
Abril,8936,3613,4385,998.3078773688948,13.22,Zaragoza,Electrónica,Muñeca,19,0,251
Febrero,6073,326,8990,705.775690747456,0.95,Santander,Electrónica,Camiseta,19,1,99
Mayo,4978,3360,8914,273.42312354488547,24.41,Zaragoza,Alimentos,Refrigerador,13,28,460
Noviembre,9617,3918,4408,995.263525762185,20.36,Bilbao,Juguetes,Libro,18,29,31
Mayo,5026,512,4295,244.38535949379815,4.45,Murcia,Juguetes,Camiseta,11,6,406
Marzo,8210,2059,2701,404.88670482230845,21.35,Sevilla,Electrónica,Teléfono,15,20,331
Diciembre,1560,1354,7705,294.2761739163016,8.1,Córdoba,Electrónica,Pelota,25,17,434
Marzo,2745,4037,6829,389.996211147168,1.4,Palma,Juguetes,Teléfono,21,7,157
Noviembre,4909,1663,1325,27.347966464288948,16.62,Granada,Juguetes,Teléfono,25,42,107
Febrero,9035,585,2014,521.8683271626037,28.18,Valladolid,Juguetes,Laptop,12,44,33
Abril,4038,3313,8462,737.9551184414764,7.78,Bilbao,Electrónica,Libro,16,37,496
Junio,8073,4334,2542,772.3071760889874,22.78,Málaga,Alimentos,Zapatillas,15,33,71
Marzo,9094,682,9239,422.6746363650364,0.75,Bilbao,Electrónica,Tablet,22,8,171
Abril,8840,4891,6634,135.7840061223222,25.58,Toledo,Ropa,Refrigerador,18,25,389
Marzo,2826,924,1418,312.9437008088745,9.27,Madrid,Electrónica,Laptop,29,48,390
Diciembre,8049,439,4395,561.3885860858456,29.61,Málaga,Electrónica,Camiseta,29,41,410
Agosto,9117,471,9146,876.4820174159205,6.19,Logroño,Hogar,Laptop,11,9,75
Enero,7250,2559,4939,738.7621288460238,24.77,Madrid,Alimentos,Refrigerador,15,10,138
Abril,8729,4338,6860,618.7359221909198,21.35,Córdoba,Hogar,Pelota,11,45,448
Septiembre,9592,4491,9465,761.1406146156819,6.82,Valladolid,Electrónica,Pelota,11,14,393
Octubre,1236,2333,7182,841.6646686263327,8.57,Palma,Ropa,Camiseta,24,40,329
Septiembre,5227,2639,6064,744.5722399222133,6.82,Toledo,Juguetes,Teléfono,26,2,409
Enero,2369,2546,3124,721.5389874223222,18.22,Valladolid,Hogar,Laptop,13,40,474
Junio,8883,1045,8226,842.4495144430728,18.19,Zaragoza,Ropa,Laptop,20,35,120
Octubre,417,3393,5402,500.78862000102254,26.58,Valladolid,Hogar,Microondas,21,16,178
Febrero,6316,881,7049,214.33917167118557,12.63,Bilbao,Juguetes,Refrigerador,18,23,152
Septiembre,9172,1784,6612,111.16850467089425,17.42,Oviedo,Electrónica,Pelota,17,47,469
Octubre,5052,1731,1867,479.29439595582045,17.73,Logroño,Juguetes,Libro,15,34,102
Octubre,1542,2056,5955,924.9667898507527,24.92,Valencia,Juguetes,Microondas,25,32,39
Julio,6154,2828,2174,284.6146471178646,25.9,Valladolid,Ropa,Refrigerador,27,8,176
Septiembre,4004,4858,4709,464.79066862160715,15.9,Barcelona,Ropa,Muñeca,23,50,374
Abril,8691,3575,3609,382.55293514828134,29.74,Granada,Hogar,Muñeca,13,2,81
Enero,3970,940,2106,181.72205959131597,17.84,Málaga,Alimentos,Pelota,15,17,494
Agosto,8873,4127,404,129.33432346445602,20.84,Bilbao,Alimentos,Tablet,30,22,304
Marzo,5171,2650,6842,188.31166332208898,20.02,Sevilla,Ropa,Camiseta,12,0,279
Junio,3578,1882,3925,324.0592927998573,18.91,Valencia,Alimentos,Pelota,13,41,316
Octubre,610,238,8054,719.9112379765459,8.73,Toledo,Hogar,Muñeca,14,40,381
Septiembre,976,4090,1453,45.955246050488,10.55,Córdoba,Ropa,Tablet,27,13,316
Agosto,6576,334,9725,58.90089502847553,26.34,Valencia,Alimentos,Muñeca,23,36,394
Agosto,9001,2051,5828,941.8053147685738,10.6,Santander,Alimentos,Libro,10,7,370
Junio,4169,2845,705,152.23655310580176,4.62,Toledo,Juguetes,Zapatillas,24,21,349
Febrero,7371,901,5253,324.9118570212445,13.06,Sevilla,Electrónica,Refrigerador,25,48,41
Mayo,3011,2295,1457,9.48183686423275,8.02,Murcia,Ropa,Libro,25,31,135
Marzo,3683,1487,4391,910.3715284094277,19.3,Santander,Alimentos,Zapatillas,17,24,305
Julio,4779,1487,9114,151.99011863528682,8.62,Palma,Hogar,Tablet,14,19,280
Junio,5547,1356,2101,487.47688193171194,29.65,Málaga,Alimentos,Zapatillas,28,29,228
Junio,5746,1295,6357,794.2100265090032,7.38,Madrid,Alimentos,Microondas,21,4,185
Junio,5777,1910,597,776.6702934635395,0.72,Santander,Ropa,Microondas,30,18,166
Octubre,7819,2417,2150,171.4547942870547,8.79,Córdoba,Hogar,Zapatillas,26,46,3
Marzo,9955,1359,6007,27.07364465113212,16.29,Toledo,Ropa,Muñeca,16,24,187
Febrero,1373,1972,1224,214.73202518173494,19.54,Córdoba,Electrónica,Tablet,27,19,171
Julio,1659,536,5230,961.4694837349401,25.78,Madrid,Hogar,Laptop,24,10,71
Agosto,1092,3428,2297,619.4892053925091,3.44,Córdoba,Juguetes,Tablet,23,2,140
Octubre,6909,3192,3963,932.5573409761286,27.26,Toledo,Ropa,Laptop,13,6,45
Noviembre,9030,588,7980,917.1537726122746,14.44,Toledo,Electrónica,Muñeca,14,21,277
Julio,2703,580,2481,819.2249922522194,17.17,Logroño,Ropa,Camiseta,20,44,29
Febrero,3880,1766,9350,756.5495872557586,25.03,Valencia,Hogar,Camiseta,16,31,467
Mayo,3358,315,1571,954.785890304947,7.1,Granada,Ropa,Refrigerador,22,27,58
Septiembre,9610,3810,5166,437.9382179002172,21.33,Madrid,Ropa,Tablet,16,13,196
Febrero,2464,3787,9889,77.1923955902824,12.21,Palma,Electrónica,Teléfono,23,36,375
Noviembre,1138,466,4084,156.4921974664987,2.48,Córdoba,Alimentos,Teléfono,13,26,176
Febrero,8284,3570,121,240.9860924485534,13.13,Palma,Alimentos,Tablet,24,7,412
Junio,1214,2214,328,192.29004677766767,8.5,Córdoba,Alimentos,Zapatillas,30,31,141
Abril,3260,1299,4378,464.49094742521345,25.19,Palma,Juguetes,Camiseta,18,33,342
Julio,5671,3166,8426,200.2655485642647,22.47,Granada,Juguetes,Microondas,15,39,193
Diciembre,556,2982,6022,819.1873239481798,21.14,Madrid,Electrónica,Laptop,19,24,482
Diciembre,8335,3929,1952,916.5102109964067,29.97,Málaga,Hogar,Pelota,15,29,186
Octubre,9745,610,6458,110.58569236304311,26.88,Zaragoza,Ropa,Tablet,29,22,484
Enero,5625,3170,9191,938.1128178884563,11.11,Palma,Ropa,Zapatillas,28,26,344
Abril,4362,4337,5649,704.906157462129,9.06,Palma,Ropa,Microondas,27,28,265
Diciembre,9277,1884,2705,573.1506999531836,28.06,Córdoba,Alimentos,Microondas,28,14,307
Marzo,3814,3025,880,526.5562059010334,25.42,Santander,Ropa,Tablet,10,22,494
Enero,943,4094,9823,447.740984319461,7.08,Málaga,Electrónica,Camiseta,25,46,57
Noviembre,4908,4767,474,590.8952210177746,14.71,Granada,Hogar,Pelota,17,16,120
Mayo,2597,2626,768,840.393746028131,20.02,Granada,Hogar,Libro,22,49,229
Julio,6298,2782,7652,12.54208284443487,17.15,Málaga,Hogar,Teléfono,26,6,469
Febrero,5333,3528,6827,218.84613135806262,10.31,Madrid,Hogar,Muñeca,16,12,186
Octubre,7760,604,9720,447.019126164853,18.36,Bilbao,Alimentos,Laptop,16,38,282
Septiembre,6604,2211,8472,990.3186084056593,11.28,Santander,Juguetes,Muñeca,23,28,138
Agosto,3201,4398,1911,418.4708899718105,24.4,Málaga,Electrónica,Laptop,24,31,245
Mayo,6625,4760,4287,57.99865835155997,0.11,Palma,Hogar,Microondas,29,23,414
Junio,1342,2193,2650,563.8378526587746,11.04,Málaga,Electrónica,Libro,24,5,309
Marzo,1217,3581,596,818.4161247947226,15.78,Murcia,Alimentos,Pelota,21,9,377
Julio,3349,1922,839,842.3274713164675,1.74,Málaga,Ropa,Refrigerador,20,28,76
Octubre,9441,3520,519,429.7424017198567,3.83,Valladolid,Electrónica,Refrigerador,29,14,175
Diciembre,2860,1534,4501,308.6872987971897,9.94,Valladolid,Electrónica,Microondas,30,44,453
Diciembre,5474,787,6999,259.94767642709127,15.44,Córdoba,Hogar,Pelota,14,40,6
Abril,5975,4336,6803,254.06502102400108,25.85,Sevilla,Juguetes,Teléfono,13,31,302
Septiembre,9606,4850,2679,999.5116988329594,29.06,Santander,Electrónica,Refrigerador,13,22,416
Abril,7756,420,9845,326.5164689648748,20.61,Sevilla,Juguetes,Refrigerador,13,36,348
Mayo,7362,940,3404,613.6468901408597,22.18,Valencia,Alimentos,Refrigerador,24,14,208
Julio,2077,4640,1339,222.88898804205954,3.25,Murcia,Electrónica,Microondas,30,21,412
Julio,8179,648,9337,304.9566968167556,4.98,Granada,Ropa,Pelota,13,11,122
Septiembre,3073,3370,7886,893.2562455255246,21.12,Santander,Alimentos,Microondas,21,32,349
Diciembre,1947,2670,8301,716.6656067655964,1.56,Barcelona,Ropa,Muñeca,28,25,168
Febrero,6802,4406,610,537.8025121004218,14.72,Bilbao,Electrónica,Camiseta,24,9,498
Junio,1423,4650,7241,791.4025253712765,9.33,Madrid,Electrónica,Libro,14,24,180
Junio,4924,3727,561,670.8781997260476,12.48,Barcelona,Electrónica,Teléfono,20,5,107
Septiembre,9365,1775,6754,581.1774253796794,14.7,Córdoba,Hogar,Pelota,23,29,395
Mayo,4911,3069,7603,198.100693233342,19.19,Córdoba,Hogar,Laptop,28,17,360
Abril,3209,3474,5418,382.4495160281239,12.87,Murcia,Juguetes,Refrigerador,30,11,76
Mayo,8412,3100,3860,894.0033246948412,19.85,Granada,Electrónica,Tablet,28,49,85
Junio,8260,4849,4606,598.526161784926,11.56,Toledo,Juguetes,Laptop,24,4,305
Julio,9925,925,7896,393.2043943919767,27.61,Bilbao,Ropa,Zapatillas,29,22,139
Junio,1381,1736,5261,590.1081702787693,8.74,Madrid,Ropa,Muñeca,29,33,339
Julio,6825,99,2075,247.0235586423127,13.35,Toledo,Electrónica,Refrigerador,18,41,453
Noviembre,1175,4692,1116,103.30195100988037,18.77,Bilbao,Electrónica,Zapatillas,24,21,52
Abril,1736,2636,2358,432.6545079573196,29.89,Barcelona,Hogar,Zapatillas,28,20,105
Diciembre,1593,2127,839,957.1950317940459,21.09,Sevilla,Electrónica,Camiseta,25,34,409
Agosto,255,4024,2462,204.65652830062402,10.66,Granada,Ropa,Zapatillas,13,34,468
Enero,332,1467,9256,691.8761941805703,2.84,Santander,Hogar,Muñeca,22,24,204
Octubre,8142,4645,7738,123.95754311175385,5.89,Oviedo,Alimentos,Tablet,24,4,223
Enero,3754,251,1697,139.50556695281963,28.3,Santander,Ropa,Tablet,16,45,180
Noviembre,3969,4492,9922,105.24698334441753,21.86,Barcelona,Electrónica,Libro,23,4,116
Marzo,4715,2792,8395,889.7443200421217,27.69,Bilbao,Ropa,Libro,10,50,114
Diciembre,6744,4328,9026,245.37569481941972,21.28,Madrid,Electrónica,Pelota,17,36,164
Marzo,8001,4279,5900,620.0087216506198,2.23,Sevilla,Alimentos,Refrigerador,19,43,248
Julio,8401,4511,6210,626.4240152775387,2.76,Granada,Juguetes,Refrigerador,11,21,415
Agosto,9117,872,3346,654.7692106759932,11.02,Oviedo,Juguetes,Zapatillas,29,10,133
Abril,2793,4237,9532,413.99463564495636,28.36,Toledo,Juguetes,Camiseta,26,41,443
Diciembre,1467,265,6328,200.26300602133858,19.89,Madrid,Hogar,Camiseta,22,48,153
Diciembre,1276,4826,8038,48.61924894042363,25.42,Santander,Electrónica,Laptop,13,26,167
Marzo,8785,3212,1492,782.6017655143277,21.84,Valencia,Electrónica,Microondas,28,50,473
Marzo,4711,302,8000,369.41041903748766,24.22,Valencia,Hogar,Laptop,11,45,337
Octubre,7713,3482,8806,132.92494484749852,4.07,Oviedo,Ropa,Teléfono,22,46,469
Julio,8583,4301,9428,904.6469861743906,20.65,Sevilla,Juguetes,Teléfono,25,7,77
Abril,981,4608,8531,534.3480272630321,14.72,Toledo,Juguetes,Microondas,10,39,105
Enero,6119,3004,9449,830.3569940593343,13.86,Oviedo,Ropa,Refrigerador,12,22,298
Diciembre,5909,3091,1131,564.5053361746061,26.07,Valladolid,Ropa,Microondas,16,5,108
Noviembre,3737,1532,7887,60.56596555246616,21.04,Madrid,Hogar,Teléfono,15,20,33
Abril,8164,3712,6865,184.58108879344385,4.86,Palma,Electrónica,Microondas,17,45,479
Febrero,9802,1849,2821,339.59291583370725,16.79,Toledo,Hogar,Refrigerador,17,29,16
Diciembre,4885,3553,3461,746.27624429642,26.3,Córdoba,Hogar,Tablet,15,44,170
Julio,1033,1183,6949,66.26152725360728,26.06,Palma,Alimentos,Refrigerador,30,39,160
Septiembre,9355,4664,4990,469.1477176517301,1.37,Barcelona,Ropa,Libro,22,7,153
Julio,9353,2927,579,991.3659420225302,12.36,Málaga,Electrónica,Zapatillas,30,22,463
Abril,4492,725,2583,316.8230402115969,18.78,Santander,Juguetes,Refrigerador,28,24,154
Marzo,3495,288,7329,960.5799166575683,27.6,Madrid,Juguetes,Muñeca,24,5,477
Agosto,5392,2225,709,836.6657743729693,18.3,Bilbao,Ropa,Libro,19,14,324
Octubre,1335,2690,3121,34.731449939043415,26.55,Madrid,Juguetes,Libro,25,2,364
Diciembre,8961,137,5290,93.17967541457129,14.79,Valencia,Alimentos,Zapatillas,22,27,399
Enero,9191,1586,3717,820.1340189074828,27.64,Córdoba,Hogar,Zapatillas,24,44,313
Marzo,1877,2777,9487,128.27953284492392,24.64,Zaragoza,Alimentos,Zapatillas,21,2,352
Septiembre,4346,3899,2759,318.18402759503994,7.18,Valencia,Electrónica,Microondas,30,23,141
Septiembre,495,4568,7909,563.5373269776895,17.01,Madrid,Ropa,Pelota,23,13,112
Enero,2875,2746,6134,380.5157098881737,0.34,Granada,Juguetes,Pelota,23,29,143
Junio,1511,3492,1526,557.7889101270662,1.19,Zaragoza,Electrónica,Tablet,11,37,123
Agosto,5218,4183,8763,403.41267228631796,27.44,Valencia,Juguetes,Laptop,29,9,373
Junio,6921,1780,2234,236.61116520215617,21.86,Palma,Hogar,Camiseta,22,4,472
Febrero,1005,1068,1056,612.4771462942705,8.49,Toledo,Ropa,Pelota,27,36,256
Septiembre,7619,4112,8326,386.73645598680673,0.85,Málaga,Ropa,Refrigerador,18,2,353
Agosto,5153,3776,7945,96.01641884128787,21.56,Valencia,Hogar,Microondas,21,14,153
Febrero,5927,1134,4955,943.0931130618999,29.09,Granada,Electrónica,Muñeca,22,22,480
Marzo,3007,4242,4879,944.9592842513549,9.47,Sevilla,Juguetes,Teléfono,18,30,221
Febrero,3172,4231,2452,464.98150634701966,3.43,Logroño,Juguetes,Teléfono,26,45,355
Julio,6700,3435,9678,171.53932834655132,0.84,Valladolid,Alimentos,Pelota,19,20,451
Agosto,5011,1987,2824,205.77587315355782,6.64,Toledo,Ropa,Pelota,23,2,262
Junio,1417,3192,4309,220.8685856094127,4.26,Santander,Hogar,Laptop,14,14,420
Mayo,4148,3526,5835,689.6670041268699,6.49,Toledo,Juguetes,Zapatillas,21,29,149
Septiembre,803,4211,7285,606.6395104886726,3.74,Logroño,Alimentos,Tablet,24,9,320
Agosto,3590,2210,5545,17.954766525198306,27.77,Málaga,Electrónica,Laptop,29,44,490
Marzo,9350,999,3635,511.5369932364081,22.54,Valencia,Ropa,Microondas,19,9,117
Julio,7180,170,8431,484.74674188164187,15.22,Málaga,Hogar,Microondas,19,38,352
Marzo,7403,3564,249,942.1402743324604,16.61,Oviedo,Hogar,Zapatillas,26,21,192
Febrero,2484,1961,6692,251.14667787884645,2.72,Valencia,Hogar,Libro,12,21,192
Diciembre,4391,2954,6404,306.57894191344127,4.76,Valladolid,Ropa,Refrigerador,11,47,409
Mayo,4643,1701,895,79.47891574697604,1.54,Córdoba,Ropa,Zapatillas,25,9,341
Abril,6148,3956,668,760.2848050408625,15.4,Málaga,Juguetes,Libro,24,50,461
Marzo,8264,3393,274,448.1375879352494,16.15,Zaragoza,Alimentos,Microondas,12,34,354
Febrero,9710,4771,8863,239.0559627962337,24.34,Córdoba,Juguetes,Muñeca,17,25,226
Mayo,4431,2655,3057,834.3225394675273,27.5,Madrid,Hogar,Teléfono,20,50,455
Junio,5281,4334,6023,735.509743072147,14.6,Bilbao,Juguetes,Libro,15,26,136
Noviembre,5415,707,3444,853.824147071262,3.22,Toledo,Ropa,Libro,16,17,340
Diciembre,1687,2643,1783,399.0685409676479,23.42,Madrid,Electrónica,Libro,30,17,100
Abril,7798,3906,8760,984.6710842395692,8.43,Santander,Alimentos,Muñeca,29,23,378
Julio,9073,121,8437,347.4523590614785,16.91,Murcia,Ropa,Pelota,25,40,19
Abril,5632,614,3644,147.46950181587056,12.82,Madrid,Alimentos,Teléfono,19,46,254
Septiembre,7524,4109,6482,289.7607664621428,8.97,Logroño,Juguetes,Pelota,24,11,21
Agosto,3883,3353,7423,807.3157908258205,22.38,Valladolid,Electrónica,Teléfono,18,19,256
Abril,6320,4378,8618,997.6217468167131,9.8,Sevilla,Ropa,Refrigerador,25,34,37
Septiembre,5972,2260,6401,604.5946445185555,27.58,Zaragoza,Alimentos,Muñeca,30,21,16
Diciembre,675,3719,5595,997.2602565459564,17.8,Córdoba,Electrónica,Laptop,24,4,354
Febrero,8642,780,7412,60.7845826504963,29.6,Madrid,Alimentos,Muñeca,26,8,231
Julio,7348,3569,611,465.2819811753886,0.08,Murcia,Hogar,Laptop,26,23,279
Enero,4264,4324,4439,836.8053326222899,10.47,Toledo,Hogar,Muñeca,16,39,196
Octubre,5293,4067,2634,252.39209614800222,25.69,Madrid,Electrónica,Teléfono,15,20,469
Febrero,2789,761,5328,222.4171956793061,19.82,Valencia,Electrónica,Laptop,27,8,369
Diciembre,1032,2921,9606,362.6217931604207,10.65,Madrid,Juguetes,Refrigerador,22,29,373
Junio,8678,3331,8029,949.7035773697353,27.8,Valencia,Electrónica,Zapatillas,22,2,324
Agosto,9866,1435,1278,389.78938125918063,0.53,Barcelona,Hogar,Camiseta,14,20,355
Diciembre,8456,3184,8289,688.6854510312063,22.07,Valencia,Juguetes,Muñeca,26,2,229
Septiembre,3612,451,7170,306.7009886821131,4.73,Murcia,Electrónica,Muñeca,27,19,158
Noviembre,4000,3680,8107,447.20183960193333,0.35,Oviedo,Hogar,Laptop,29,15,23
Noviembre,8741,573,6937,154.18303052156708,14.62,Sevilla,Ropa,Tablet,25,34,359
Agosto,1253,551,9987,258.4271022460845,8.31,Córdoba,Ropa,Laptop,21,45,348
Septiembre,7582,2034,9464,199.5605983277291,14.23,Córdoba,Juguetes,Laptop,26,0,415
Mayo,1509,3999,8443,684.4251049615946,26.71,Valencia,Electrónica,Teléfono,12,31,117
Mayo,1711,2861,4183,757.6946230990995,16.06,Barcelona,Ropa,Microondas,15,37,212
Septiembre,2896,4598,3915,946.6486743399854,1.34,Logroño,Alimentos,Microondas,19,4,478
Noviembre,7270,1836,9036,128.06765185567963,4.16,Valencia,Alimentos,Camiseta,23,46,162
Junio,9705,194,3198,504.12876525335673,1.59,Granada,Electrónica,Laptop,17,48,60
Abril,8529,3407,4651,48.84443414290709,20.39,Zaragoza,Hogar,Tablet,23,7,364
Marzo,6049,3791,8202,626.2389606705586,27.31,Toledo,Hogar,Teléfono,26,39,91
Marzo,8624,4243,2223,237.04357201004325,10.28,Madrid,Alimentos,Tablet,23,3,136
Abril,4879,3399,903,387.6223333348764,7.71,Barcelona,Alimentos,Libro,24,13,339
Agosto,5403,3681,8611,411.5293160211306,19.26,Murcia,Electrónica,Refrigerador,15,21,51
Julio,940,4307,9920,523.9490411393905,21.44,Córdoba,Juguetes,Pelota,20,13,467
Marzo,579,2416,1583,33.65070291095384,20.01,Málaga,Alimentos,Libro,21,42,63
Febrero,8188,1513,4957,17.026870482724508,21.33,Valladolid,Juguetes,Tablet,18,22,155
Octubre,3871,1959,1740,64.81656902021638,17.12,Oviedo,Juguetes,Teléfono,14,33,180
Junio,2776,1019,3789,605.1014117682606,26.09,Barcelona,Hogar,Teléfono,18,49,143
Mayo,5591,1074,8455,794.2251845603464,4.33,Valladolid,Juguetes,Camiseta,21,42,317
Agosto,7290,54,8843,148.14638330824744,17.88,Sevilla,Ropa,Camiseta,26,0,263
Septiembre,3056,2894,8617,713.4126168746859,0.27,Bilbao,Juguetes,Muñeca,23,41,412
Noviembre,385,2981,1784,42.92683434874543,4.85,Santander,Alimentos,Libro,13,42,412
Octubre,6978,2155,2046,77.60674466247005,28.47,Granada,Hogar,Tablet,28,24,194
Octubre,9301,1388,5071,48.38235774594412,26.18,Murcia,Juguetes,Pelota,28,48,175
Julio,349,1494,3610,82.2982110522926,1.96,Valladolid,Hogar,Muñeca,29,43,12
Junio,7894,486,8349,353.97773092393766,17.53,Santander,Ropa,Muñeca,11,8,93
Septiembre,5023,2453,3637,605.0961718311677,13.14,Logroño,Juguetes,Zapatillas,21,9,121
